subID,oneAlpha_oneBeta,oneAlpha_twoBeta,twoAlpha_oneBeta,twoAlpha_twoBeta,twoAlphaValenced_oneBeta,twoAlphaValenced_twoBeta,fourAlpha_oneBeta,fourAlpha_twoBeta,oneAlpha_oneBeta_agencyBonus,oneAlpha_twoBeta_agencyBonus,twoAlpha_oneBeta_agencyBonus,twoAlpha_twoBeta_agencyBonus,twoAlphaValenced_oneBeta_agencyBonus,twoAlphaValenced_twoBeta_agencyBonus,fourAlpha_oneBeta_agencyBonus,fourAlpha_twoBeta_agencyBonus
voc027a,458.673764767415,461.661907656824,464.202943878557,456.316371967574,462.829184928926,466.324104599757,366.947660892588,373.120612187294,435.18940705682,439.412849537877,440.718587239577,421.874555791932,435.03209171232,431.592498033102,352.749635904869,359.015029496341
voc028a,697.134932792936,626.890042657785,688.747596100958,619.328270273477,698.768553849734,539.531563059315,698.665631507413,552.569472706117,509.731922130957,469.102180443277,514.963215695586,465.654715957783,403.900110379476,378.199436339675,403.902669894199,388.797505755676
voc029a,602.63406344259,598.022317157045,477.430157209815,483.543322915116,564.032640386358,508.835900195869,437.720638357339,441.988869440482,466.243542217871,449.774874420475,419.480637128688,397.153083435763,375.908661171888,378.285316022091,347.510826990254,353.877361528706
voc030a,442.065387678714,441.230213516217,362.895426076405,368.989440923202,409.723337306994,401.376714399862,371.574439271139,375.872511373909,425.32478834064,413.257534219926,363.353686553433,369.554148412059,392.777032247317,392.140072261807,375.025825347352,381.266717291738
voc032a,582.401265895846,588.181938831908,573.03500001099,579.2786424118,588.548130575411,577.724576088187,464.422225877361,419.940927023545,404.397262391054,410.746683591265,407.087498193746,411.668844946926,367.055732226796,371.10966083152,374.727584113836,357.433194547513
voc034a,143.622856761922,149.427249846764,149.63142571009,155.433165301612,149.635004957436,155.438666167034,161.646293546354,167.440439829675,136.528709288012,142.332986990917,142.560884889127,148.361469655775,142.564048792766,143.747652109331,154.611352113752,155.48118420816
voc035a,384.549711911675,389.983396667635,324.062831183953,328.552078861131,390.64600061947,383.960761763277,247.442638783014,228.476035046636,206.583423169527,214.357516834972,178.294698786827,185.087556221438,156.483482228333,167.087335404624,163.675572124812,175.414774606858
voc036a,509.338953899927,507.287394722249,512.216290474945,503.302666571607,515.014764294595,513.374833705788,499.093300988962,477.978853551955,402.668272201021,407.641477330624,408.568123466862,413.045198779768,400.991485427029,407.901742161547,412.89900526282,420.669355092894
voc037a,794.827318636846,794.034566996418,795.6304196029,794.752015006397,801.106196136934,783.019723004118,793.282231539408,799.212047708513,643.625464230091,649.610041683525,649.430898347287,655.527373980851,638.68220590347,640.089701323073,647.558981661466,649.648989508291
voc039a,673.775799122383,656.367854195612,679.979707299019,660.080388041143,679.657108189996,661.660492625861,675.005815564315,658.90985382606,479.864074466956,487.81530341474,471.495317131845,478.276029343253,472.254351992234,470.813401072362,481.630023355776,479.655893580078
