subID,oneAlpha_oneBeta,oneAlpha_twoBeta,twoAlpha_oneBeta,twoAlpha_twoBeta,twoAlphaValenced_oneBeta,twoAlphaValenced_twoBeta,fourAlpha_oneBeta,fourAlpha_twoBeta,oneAlpha_oneBeta_agencyBonus,oneAlpha_twoBeta_agencyBonus,twoAlpha_oneBeta_agencyBonus,twoAlpha_twoBeta_agencyBonus,twoAlphaValenced_oneBeta_agencyBonus,twoAlphaValenced_twoBeta_agencyBonus,fourAlpha_oneBeta_agencyBonus,fourAlpha_twoBeta_agencyBonus
voc030a,433.942473840858,429.045842759433,350.711055319621,352.743613247489,397.53896655021,385.13088672415,351.267154676499,351.503769860341,413.140417583856,397.011706544214,347.107858877721,349.246863817419,376.531204571605,371.832787667167,350.657083833784,352.836518859242
voc032a,573.874469370663,575.391744044134,560.244805223215,562.225049361433,575.757935787636,560.670983037821,443.105234564402,394.360537447996,391.607067603279,393.693090540899,390.03390514338,390.351853633968,350.00213917643,349.792669518562,349.147194538286,327.589406709371
voc034a,136.012586824089,138.011844940014,138.21602080334,140.212625425946,138.219600050687,140.218126291368,142.620618701772,144.609630016176,125.113304381263,127.112447115251,127.340345013461,129.335794811192,127.3435089171,124.721977264749,131.780542300253,128.845239425744
voc035a,376.197977371463,377.455794857318,311.535229373635,311.848609780708,378.118398809152,367.257292682854,226.563302432485,203.420831426001,194.05582135921,197.654047754549,161.591229706404,164.208219870909,139.78001314791,146.207999054095,138.620368504177,146.183703716118
voc036a,500.950143117718,494.704178548935,499.633074301631,486.525045007188,502.431548121281,496.59721214137,478.121274033438,452.812421205327,390.085056027707,390.863855766205,391.790501902443,392.073171824244,384.213863862611,386.929715206023,387.732572916192,391.308517355161
voc037a,786.125547203417,780.981909846274,782.577762452755,777.348472139538,788.05353898679,765.616180137259,771.527802955834,773.106733408224,630.572807079946,632.206498816666,632.027355480428,633.772945397277,621.278663036611,618.3352727395,621.453667361178,619.192789491287
voc039a,665.185267119504,643.482056191293,667.0939092947,642.899324035384,666.771310185677,644.479428620102,653.529485557116,633.138257817422,466.978276462637,470.634239408981,454.314253126086,456.799699336054,455.073287986475,449.337071065164,455.858427347138,449.589031570001
voc040a,597.899854470058,597.033949667214,599.620542225961,589.680198376305,594.330258405786,559.05311008477,484.007017259003,459.640913435777,464.003822186868,463.390053143974,455.405576729856,454.457118391295,398.404585428246,398.441253436414,398.399398882878,392.865876390568
voc041a,370.446700593453,355.858528701241,365.727133563911,335.959501596394,368.252962939861,339.751320734272,365.395795695946,335.163927917334,253.59292887312,256.593436407308,255.329351304966,258.750520335565,255.61219276649,249.942493659535,259.304043814747,252.177537972596
voc042a,632.417086261024,537.024429056407,629.965048538436,504.493825959159,576.466253725576,472.837418190993,429.830780880806,423.144406138957,438.994961125915,403.39908342011,434.297571283405,373.369966494969,330.874406611342,312.860994963972,317.896243189068,306.882967636718
voc043a,367.405580283544,369.206380485465,357.836571474511,356.837891185416,369.350233055066,371.218898721675,344.826275923242,346.581643373245,327.893877142104,317.094710383064,328.165696731546,311.146564135878,300.657399789915,299.805096856384,304.774852358487,303.420909160146
voc044a,575.288306068846,573.747891166884,556.635466668745,557.425431793051,577.268404824847,575.722788462508,532.847072258374,523.553499255242,476.866089599404,478.863336136949,474.211241418541,475.087091843964,478.272417507919,480.320036361656,473.722577785364,469.881563606822
voc045a,593.924308900628,568.167018257579,584.445534734241,558.862835379527,595.875431603813,557.808513829889,477.754421101224,479.749000289694,357.436588858083,359.514471599661,357.836546813664,359.584546957801,348.482269227919,350.556241118391,339.645150423695,338.908490264908
voc046a,525.958182331484,527.269796225748,523.820831870265,523.775892117204,527.947302100603,529.265693878533,508.750830565826,500.706610650816,409.344268275596,398.760688107169,410.294893450568,400.088503500851,408.409741643591,399.096310263336,411.888684250461,403.144521814052
voc047a,615.214304884028,560.758706691244,615.780507900206,557.668413366112,611.265489637293,562.738546377661,612.472087188261,551.247442197186,447.082381982175,449.428179479504,449.131662510888,451.584670105533,449.085232726532,451.590402876211,453.040540782173,457.544469502785
voc048a,670.938759436002,638.880518149967,647.483961161301,623.071687618288,672.317961496556,640.868263770991,645.480806709207,608.806080622267,412.318615683371,416.395852812732,401.231359815531,405.20652594739,400.434143418204,404.565240523841,397.951504770961,402.109310546451
voc049a,352.84169759007,354.903812942611,352.801726908705,354.895351884277,352.376265840093,354.388861680738,304.031890609406,300.373222336159,322.169999496109,324.088221978472,321.446327831863,323.657651551523,305.046047675237,305.676277985816,294.782014783827,296.997110133654
voc050a,678.704735538106,673.146271060443,676.878099221033,670.337820761337,678.156903281744,672.593576586313,677.472857363073,669.12663768184,544.323839952304,546.551302373123,544.260571452447,546.560865793913,545.780601514685,549.401189679506,546.326818331434,547.344652873759
