"subID","trial","condition","leftBandit","rightBandit","tokenOffer","agencyResp","agency","agencyRT","selectedBandit","nonSelectedBandit","banditResp","banditRT","reward","tokensEarned","EV_choose","EV_comp","EV_selectedAction","EV_nonselectedAction","EV_selectedMinusNonselected","optimal","trialOfCond","optimalToChoose"
"voc068t",153,"bandits5050","bandit50a","bandit50b",2,2,1,2.1945,"bandit50b","bandit50a",2,0.59413,1,10,0.52941,0.72228,0.52941,0.72228,-0.19287,-1,51,0
"voc068t",154,"bandits5050","bandit50b","bandit50a",3,2,1,1.2116,"bandit50b","bandit50a",1,0.66499,0,0,0.52941,0.82941,0.52941,0.82941,-0.3,-1,52,0
"voc068t",155,"bandits7030","bandit70","bandit30",6,2,1,1.0391,"bandit70","bandit30",1,0.42159,0,0,0.71429,1.1093,0.71429,1.1093,-0.39503,-1,52,0
"voc068t",156,"bandits9010","bandit90","bandit10",5,2,1,0.75685,"bandit90","bandit10",1,0.63056,0,0,0.90698,1.016,0.90698,1.016,-0.10901,-1,52,0
"voc068t",157,"bandits7030","bandit30","bandit70",1,2,1,1.4462,"bandit30","bandit70",1,1.7303,0,0,0.68966,0.597,0.68966,0.597,0.092654,1,53,1
"voc068t",158,"bandits9010","bandit10","bandit90",3,2,1,0.91861,"bandit90","bandit10",2,0.39028,1,10,0.88636,0.80568,0.88636,0.80568,0.080682,1,53,1
"voc068t",159,"bandits5050","bandit50a","bandit50b",4,1,0,2.1541,"bandit50b","bandit50a",2,3.1393,0,4,0.52941,0.92185,0.92185,0.52941,0.39244,1,53,0
"voc068t",160,"bandits5050","bandit50a","bandit50b",1,1,0,0.84986,"bandit50a","bandit50b",1,0.91266,0,1,0.52941,0.61471,0.61471,0.52941,0.085294,1,54,0
"voc068t",161,"bandits7030","bandit70","bandit30",4,2,1,0.76101,"bandit30","bandit70",2,0.874,1,10,0.68966,0.89066,0.68966,0.89066,-0.20101,-1,54,0
"voc068t",162,"bandits9010","bandit10","bandit90",2,1,0,0.15306,"bandit10","bandit90",1,4.9875,0,2,0.88889,0.70694,0.70694,0.88889,-0.18194,-1,54,1
"voc068t",163,"bandits7030","bandit30","bandit70",2,2,1,3.3839,"bandit70","bandit30",2,0.63692,1,10,0.68966,0.70483,0.68966,0.70483,-0.015172,-1,55,0
"voc068t",164,"bandits5050","bandit50b","bandit50a",0,2,1,1.3334,"bandit50b","bandit50a",1,1.9169,1,10,0.5,0.5,0.5,0.5,0,0,55,
"voc068t",165,"bandits9010","bandit90","bandit10",4,2,1,0.93697,"bandit90","bandit10",1,0.49007,1,10,0.88889,0.9,0.88889,0.9,-0.011111,-1,55,0
"voc068t",166,"bandits9010","bandit10","bandit90",6,2,1,0.91272,"bandit90","bandit10",2,0.56992,1,10,0.8913,1.1012,0.8913,1.1012,-0.2099,-1,56,0
"voc068t",167,"bandits7030","bandit70","bandit30",5,1,0,1.8446,"bandit30","bandit70",2,9.003,1,15,0.7,1.01,1.01,0.7,0.31,1,56,0
"voc068t",168,"bandits5050","bandit50a","bandit50b",6,2,1,1.4037,"bandit50b","bandit50a",2,0.62578,1,10,0.51351,1.1068,0.51351,1.1068,-0.59324,-1,56,0
"voc068t",169,"bandits9010","bandit90","bandit10",5,2,1,0.92162,"bandit90","bandit10",1,0.68436,1,10,0.89362,1.0024,0.89362,1.0024,-0.10875,-1,57,0
"voc068t",170,"bandits7030","bandit70","bandit30",6,2,1,1.3774,"bandit70","bandit30",1,2.7861,1,10,0.7,1.1231,0.7,1.1231,-0.42308,-1,57,0
"voc068t",171,"bandits5050","bandit50b","bandit50a",3,2,1,1.3933,"bandit50b","bandit50a",1,0.68021,0,0,0.52632,0.81316,0.52632,0.81316,-0.28684,-1,57,0
"voc068t",172,"bandits7030","bandit30","bandit70",1,2,1,0.75105,"bandit70","bandit30",2,0.95131,1,10,0.70968,0.62792,0.70968,0.62792,0.081762,1,58,1
"voc068t",173,"bandits5050","bandit50a","bandit50b",4,1,0,1.6423,"bandit50a","bandit50b",1,6.2247,0,4,0.51282,0.90641,0.90641,0.51282,0.39359,1,58,0
"voc068t",174,"bandits9010","bandit10","bandit90",6,2,1,1.1059,"bandit90","bandit10",2,0.5878,1,10,0.89583,1.1035,0.89583,1.1035,-0.20764,-1,58,0
"voc068t",175,"bandits7030","bandit30","bandit70",5,1,0,1.6292,"bandit70","bandit30",2,2.7564,1,15,0.71875,1.0325,1.0325,0.71875,0.3137,1,59,0
"voc068t",176,"bandits5050","bandit50b","bandit50a",6,1,0,3.2194,"bandit50b","bandit50a",1,3.8654,0,6,0.51282,1.0933,1.0933,0.51282,0.58043,1,59,0
"voc068t",177,"bandits9010","bandit90","bandit10",2,2,1,1.0498,"bandit90","bandit10",1,0.75004,1,10,0.89796,0.70454,0.89796,0.70454,0.19342,1,59,1
"voc068t",178,"bandits5050","bandit50a","bandit50b",2,2,1,1.1943,"bandit50b","bandit50a",2,0.68823,0,0,0.5,0.68684,0.5,0.68684,-0.18684,-1,60,0
"voc068t",179,"bandits9010","bandit90","bandit10",0,2,1,0.7974,"bandit90","bandit10",1,0.37968,1,10,0.9,0.50556,0.9,0.50556,0.39444,1,60,1
"voc068t",180,"bandits7030","bandit30","bandit70",0,1,0,1.4138,"bandit30","bandit70",1,4.366,0,0,0.72727,0.53671,0.53671,0.72727,-0.19056,-1,60,1
"voc068t",181,"bandits9010","bandit10","bandit90",4,2,1,0.1151,"bandit90","bandit10",2,0.69213,1,10,0.90196,0.90654,0.90196,0.90654,-0.0045752,-1,61,0
"voc068t",182,"bandits5050","bandit50b","bandit50a",1,2,1,1.6513,"bandit50b","bandit50a",1,1.255,1,10,0.4878,0.58074,0.4878,0.58074,-0.09294,-1,61,0
"voc068t",183,"bandits7030","bandit30","bandit70",4,2,1,2.7423,"bandit70","bandit30",2,1.0938,1,10,0.72727,0.9303,0.72727,0.9303,-0.20303,-1,61,0
"voc068t",184,"bandits7030","bandit70","bandit30",2,2,1,1.6654,"bandit70","bandit30",1,0.61405,0,0,0.73529,0.73431,0.73529,0.73431,0.00098039,1,62,1
"voc068t",185,"bandits5050","bandit50a","bandit50b",5,1,0,1.1583,"bandit50b","bandit50a",2,3.2098,0,5,0.5,0.98684,0.98684,0.5,0.48684,1,62,0
"voc068t",186,"bandits9010","bandit10","bandit90",3,2,1,0.92423,"bandit90","bandit10",2,0.46233,1,10,0.90385,0.80748,0.90385,0.80748,0.096368,1,62,1
"voc068t",187,"bandits7030","bandit70","bandit30",3,2,1,1.3899,"bandit30","bandit70",2,0.00018026,0,0,0.71429,0.82381,0.71429,0.82381,-0.10952,-1,63,0
"voc068t",188,"bandits5050","bandit50a","bandit50b",0,2,1,4.2938,"bandit50b","bandit50a",2,2.2072,1,10,0.48837,0.48103,0.48837,0.48103,0.0073439,1,63,1
"voc068t",189,"bandits9010","bandit10","bandit90",1,2,1,1.1035,"bandit90","bandit10",2,0.50434,1,10,0.90566,0.60839,0.90566,0.60839,0.29727,1,63,1
