"subID","trial","condition","leftBandit","rightBandit","tokenOffer","agencyResp","agency","agencyRT","selectedBandit","nonSelectedBandit","banditResp","banditRT","reward","tokensEarned","EV_choose","EV_comp","EV_selectedAction","EV_nonselectedAction","EV_selectedMinusNonselected","optimal","trialOfCond","optimalToChoose"
"voc075c",62,"bandits9010","bandit90","bandit10",4,1,0,0.13771,"bandit90","bandit10",1,0.93387,1,14,0.9,0.9,0.9,0.9,0,0,21,
"voc075c",63,"bandits5050","bandit50b","bandit50a",1,1,0,1.0222,"bandit50b","bandit50a",1,0.55028,1,11,0.45455,0.54949,0.54949,0.45455,0.094949,1,21,0
"voc075c",64,"bandits7030","bandit70","bandit30",4,1,0,1.4071,"bandit70","bandit30",1,0.57486,1,14,0.66667,0.9,0.9,0.66667,0.23333,1,22,0
"voc075c",65,"bandits9010","bandit90","bandit10",4,1,0,0.00014265,"bandit10","bandit90",2,1.4795,0,4,0.90909,0.90455,0.90455,0.90909,-0.0045455,-1,22,1
"voc075c",66,"bandits5050","bandit50a","bandit50b",4,1,0,0.72168,"bandit50a","bandit50b",1,0.85387,1,14,0.5,0.87727,0.87727,0.5,0.37727,1,22,0
"voc075c",67,"bandits5050","bandit50b","bandit50a",3,1,0,0.73746,"bandit50b","bandit50a",1,0.64537,1,13,0.5,0.8,0.8,0.5,0.3,1,23,0
"voc075c",68,"bandits9010","bandit90","bandit10",5,1,0,0.7293,"bandit90","bandit10",1,0.94926,1,15,0.90909,1,1,0.90909,0.090909,1,23,0
"voc075c",69,"bandits7030","bandit70","bandit30",6,1,0,0.00013504,"bandit30","bandit70",2,0.55754,0,6,0.69231,1.1128,1.1128,0.69231,0.42051,1,23,0
"voc075c",70,"bandits5050","bandit50a","bandit50b",1,1,0,0.81328,"bandit50b","bandit50a",2,0.70112,0,1,0.54545,0.62273,0.62273,0.54545,0.077273,1,24,0
"voc075c",71,"bandits9010","bandit90","bandit10",6,1,0,0.70333,"bandit10","bandit90",2,0.78053,0,6,0.91667,1.1038,1.1038,0.91667,0.18712,1,24,0
"voc075c",72,"bandits7030","bandit30","bandit70",1,1,0,0.8509,"bandit30","bandit70",1,0.56077,0,1,0.69231,0.59615,0.59615,0.69231,-0.096154,-1,24,1
"voc075c",73,"bandits9010","bandit10","bandit90",0,1,0,0.00017875,"bandit90","bandit10",2,0.69059,1,10,0.91667,0.5,0.5,0.91667,-0.41667,-1,25,1
"voc075c",74,"bandits5050","bandit50b","bandit50a",0,1,0,0.58868,"bandit50b","bandit50a",1,0.58185,0,0,0.5,0.5,0.5,0.5,0,0,25,
"voc075c",75,"bandits7030","bandit70","bandit30",2,1,0,0.00013408,"bandit70","bandit30",1,0.62149,0,2,0.69231,0.68252,0.68252,0.69231,-0.0097902,-1,25,1
"voc075c",76,"bandits7030","bandit70","bandit30",3,1,0,0.0036662,"bandit70","bandit30",1,0.549,1,13,0.64286,0.75779,0.75779,0.64286,0.11494,1,26,0
"voc075c",77,"bandits9010","bandit10","bandit90",3,1,0,0.00011721,"bandit90","bandit10",2,0.39029,1,13,0.92308,0.80321,0.80321,0.92308,-0.11987,-1,26,1
