"subID","trial","condition","leftBandit","rightBandit","tokenOffer","agencyResp","agency","agencyRT","selectedBandit","nonSelectedBandit","banditResp","banditRT","reward","tokensEarned","EV_choose","EV_comp","EV_selectedAction","EV_nonselectedAction","EV_selectedMinusNonselected","optimalToChoose","optimal","trialOfCond"
"voc085c",209,"bandits9010","bandit90","bandit10",1,2,1,0.90925,"bandit90","bandit10",1,0.34446,1,10,0.89583,0.59554,0.89583,0.59554,0.3003,1,1,70
"voc085c",210,"bandits5050","bandit50b","bandit50a",3,2,1,0.9596,"bandit50b","bandit50a",1,0.43428,0,0,0.52381,0.80265,0.52381,0.80265,-0.27884,0,-1,70
"voc085c",211,"bandits9010","bandit90","bandit10",0,2,1,6.4878,"bandit90","bandit10",1,2.046,1,10,0.89796,0.4966,0.89796,0.4966,0.40136,1,1,71
"voc085c",212,"bandits7030","bandit30","bandit70",2,2,1,1.1185,"bandit70","bandit30",2,0.89741,1,10,0.68571,0.68571,0.68571,0.68571,0,,0,71
"voc085c",213,"bandits5050","bandit50b","bandit50a",5,1,0,0.95787,"bandit50b","bandit50a",1,0.91452,0,5,0.51163,0.99655,0.99655,0.51163,0.48493,0,1,71
"voc085c",214,"bandits7030","bandit30","bandit70",0,2,1,0.17353,"bandit70","bandit30",2,0.98252,0,0,0.69444,0.49008,0.69444,0.49008,0.20437,1,1,72
"voc085c",215,"bandits9010","bandit10","bandit90",6,1,0,0.41336,"bandit10","bandit90",1,2.861,0,6,0.9,1.0976,1.0976,0.9,0.19762,0,1,72
"voc085c",216,"bandits5050","bandit50b","bandit50a",4,2,1,1.7218,"bandit50b","bandit50a",1,1.4629,1,10,0.5,0.89074,0.5,0.89074,-0.39074,0,-1,72
"voc085c",217,"bandits9010","bandit90","bandit10",2,2,1,1.0514,"bandit90","bandit10",1,0.66135,1,10,0.9,0.69545,0.9,0.69545,0.20455,1,1,73
"voc085c",218,"bandits7030","bandit70","bandit30",3,2,1,1.1237,"bandit70","bandit30",1,0.521,1,10,0.67568,0.78069,0.67568,0.78069,-0.10502,0,-1,73
"voc085c",219,"bandits5050","bandit50a","bandit50b",3,2,1,0.95945,"bandit50b","bandit50a",2,0.80306,1,10,0.51111,0.7963,0.51111,0.7963,-0.28519,0,-1,73
