"subID","trial","condition","leftBandit","rightBandit","tokenOffer","agencyResp","agency","agencyRT","selectedBandit","nonSelectedBandit","banditResp","banditRT","reward","tokensEarned","EV_choose","EV_comp","EV_selectedAction","EV_nonselectedAction","EV_selectedMinusNonselected","optimalToChoose","optimal","trialOfCond"
"voc060a",167,"bandits5050","bandit50a","bandit50b",2,2,1,1.8848,"bandit50b","bandit50a",2,0.23821,0,0,0.5,0.69444,0.5,0.69444,-0.19444,0,-1,56
"voc060a",168,"bandits7030","bandit70","bandit30",0,2,1,1.0143,"bandit70","bandit30",1,0.57229,1,10,0.7,0.55,0.7,0.55,0.15,1,1,56
"voc060a",169,"bandits7030","bandit30","bandit70",2,2,1,1.9341,"bandit70","bandit30",2,0.5274,1,10,0.70732,0.75366,0.70732,0.75366,-0.046341,0,-1,57
"voc060a",170,"bandits9010","bandit10","bandit90",6,1,0,2.3001,"bandit90","bandit10",2,0.87231,1,16,0.88889,1.0899,1.0899,0.88889,0.20101,0,1,57
"voc060a",171,"bandits5050","bandit50b","bandit50a",3,2,1,2.571,"bandit50b","bandit50a",1,0.25743,1,10,0.5,0.78913,0.5,0.78913,-0.28913,0,-1,57
"voc060a",172,"bandits9010","bandit10","bandit90",2,2,1,1.0011,"bandit90","bandit10",2,0.35138,1,10,0.8913,0.69111,0.8913,0.69111,0.2002,1,1,58
"voc060a",173,"bandits5050","bandit50a","bandit50b",0,2,1,0.76302,"bandit50b","bandit50a",2,0.31514,1,10,0.5,0.49468,0.5,0.49468,0.0053191,1,1,58
"voc060a",174,"bandits7030","bandit30","bandit70",3,2,1,1.0075,"bandit70","bandit30",2,1.0063,0,0,0.71429,0.85714,0.71429,0.85714,-0.14286,0,-1,58
"voc060a",175,"bandits7030","bandit70","bandit30",1,2,1,1.2068,"bandit70","bandit30",1,1.157,0,0,0.69767,0.64884,0.69767,0.64884,0.048837,1,1,59
"voc060a",176,"bandits9010","bandit10","bandit90",3,2,1,0.85621,"bandit90","bandit10",2,0.61214,1,10,0.89362,0.79226,0.89362,0.79226,0.10135,1,1,59
"voc060a",177,"bandits5050","bandit50b","bandit50a",6,1,0,4.4943,"bandit50b","bandit50a",1,0.57632,1,16,0.5,1.1,1.1,0.5,0.6,0,1,59
"voc060a",178,"bandits7030","bandit70","bandit30",0,2,1,0.90269,"bandit70","bandit30",1,0.36046,1,10,0.68182,0.54091,0.68182,0.54091,0.14091,1,1,60
"voc060a",179,"bandits5050","bandit50b","bandit50a",1,2,1,1.1394,"bandit50b","bandit50a",1,0.83659,0,0,0.5102,0.6051,0.5102,0.6051,-0.094898,0,-1,60
"voc060a",180,"bandits9010","bandit10","bandit90",1,2,1,2.748,"bandit90","bandit10",2,1.2919,1,10,0.89583,0.59337,0.89583,0.59337,0.30246,1,1,60
"voc060a",181,"bandits9010","bandit90","bandit10",0,2,1,0.9931,"bandit90","bandit10",1,0.20818,1,10,0.89796,0.49443,0.89796,0.49443,0.40353,1,1,61
"voc060a",182,"bandits7030","bandit30","bandit70",5,1,0,1.8095,"bandit70","bandit30",2,0.48264,1,15,0.68889,1.0444,1.0444,0.68889,0.35556,0,1,61
"voc060a",183,"bandits5050","bandit50b","bandit50a",2,2,1,0.9088,"bandit50b","bandit50a",1,0.28786,0,0,0.5,0.7,0.5,0.7,-0.2,0,-1,61
"voc060a",184,"bandits7030","bandit70","bandit30",6,2,1,0.57218,"bandit70","bandit30",1,1.0133,1,10,0.69565,1.1478,0.69565,1.1478,-0.45217,0,-1,62
"voc060a",185,"bandits9010","bandit10","bandit90",5,1,0,1.3245,"bandit10","bandit90",1,0.5052,0,5,0.9,0.99545,0.99545,0.9,0.095455,0,1,62
"voc060a",186,"bandits5050","bandit50a","bandit50b",5,1,0,1.3939,"bandit50a","bandit50b",1,0.47507,0,5,0.5,0.9951,0.9951,0.5,0.4951,0,1,62
"voc060a",187,"bandits5050","bandit50b","bandit50a",4,2,1,1.9661,"bandit50b","bandit50a",1,0.1647,1,10,0.4902,0.87237,0.4902,0.87237,-0.38217,0,-1,63
"voc060a",188,"bandits7030","bandit70","bandit30",4,1,0,3.1914,"bandit30","bandit70",2,0.53492,0,4,0.70213,0.95106,0.95106,0.70213,0.24894,0,1,63
"voc060a",189,"bandits9010","bandit10","bandit90",4,2,1,3.0729,"bandit90","bandit10",2,0.25052,1,10,0.9,0.89167,0.9,0.89167,0.0083333,1,1,63
"voc060a",190,"bandits9010","bandit10","bandit90",2,2,1,4.2342,"bandit90","bandit10",2,0.80465,1,10,0.90196,0.69265,0.90196,0.69265,0.20931,1,1,64
"voc060a",191,"bandits5050","bandit50a","bandit50b",0,2,1,0.95043,"bandit50b","bandit50a",2,0.23766,1,10,0.5,0.47727,0.5,0.47727,0.022727,1,1,64
"voc060a",192,"bandits7030","bandit30","bandit70",0,2,1,1.1421,"bandit70","bandit30",2,0.38359,1,10,0.70213,0.53856,0.70213,0.53856,0.16356,1,1,64
"voc060a",193,"bandits9010","bandit90","bandit10",3,2,1,1.426,"bandit90","bandit10",1,1.3745,1,10,0.90385,0.79359,0.90385,0.79359,0.11026,1,1,65
"voc060a",194,"bandits5050","bandit50b","bandit50a",2,2,1,1.225,"bandit50b","bandit50a",1,0.7983,0,0,0.50943,0.68199,0.50943,0.68199,-0.17256,0,-1,65
"voc060a",195,"bandits7030","bandit30","bandit70",5,1,0,2.2395,"bandit70","bandit30",2,0.57484,1,15,0.70833,1.0417,1.0417,0.70833,0.33333,0,1,65
"voc060a",196,"bandits7030","bandit70","bandit30",1,2,1,1.0857,"bandit70","bandit30",1,0.28061,0,0,0.71429,0.64464,0.71429,0.64464,0.069643,1,1,66
"voc060a",197,"bandits5050","bandit50a","bandit50b",1,2,1,0.7824,"bandit50b","bandit50a",2,0.81294,0,0,0.5,0.57727,0.5,0.57727,-0.077273,0,-1,66
"voc060a",198,"bandits9010","bandit90","bandit10",0,2,1,1.0225,"bandit90","bandit10",1,0.58715,1,10,0.90566,0.4945,0.90566,0.4945,0.41116,1,1,66
"voc060a",199,"bandits5050","bandit50a","bandit50b",6,1,0,2.4854,"bandit50b","bandit50a",2,0.40815,1,16,0.49091,1.0727,1.0727,0.49091,0.58182,0,1,67
"voc060a",200,"bandits7030","bandit70","bandit30",6,1,0,2.127,"bandit70","bandit30",1,0.58638,1,16,0.7,1.1375,1.1375,0.7,0.4375,0,1,67
"voc060a",201,"bandits9010","bandit10","bandit90",4,2,1,1.5838,"bandit90","bandit10",2,0.26339,1,10,0.90741,0.89537,0.90741,0.89537,0.012037,1,1,67
"voc060a",202,"bandits9010","bandit90","bandit10",6,1,0,3.4458,"bandit10","bandit90",2,0.37869,0,6,0.90909,1.0962,1.0962,0.90909,0.18712,0,1,68
"voc060a",203,"bandits5050","bandit50a","bandit50b",4,2,1,2.8484,"bandit50b","bandit50a",2,0.2922,0,0,0.5,0.87727,0.5,0.87727,-0.37727,0,-1,68
"voc060a",204,"bandits7030","bandit70","bandit30",3,1,0,1.9618,"bandit30","bandit70",2,0.55524,0,3,0.70588,0.84044,0.84044,0.70588,0.13456,0,1,68
"voc060a",205,"bandits9010","bandit90","bandit10",5,1,0,2.5075,"bandit90","bandit10",1,0.75007,1,15,0.90909,0.99301,0.99301,0.90909,0.083916,0,1,69
"voc060a",206,"bandits7030","bandit30","bandit70",2,2,1,1.0144,"bandit70","bandit30",2,0.29981,0,0,0.70588,0.72941,0.70588,0.72941,-0.023529,0,-1,69
"voc060a",207,"bandits5050","bandit50a","bandit50b",3,2,1,1.8968,"bandit50b","bandit50a",2,0.3711,1,10,0.49123,0.77289,0.49123,0.77289,-0.28166,0,-1,69
"voc060a",208,"bandits5050","bandit50b","bandit50a",5,1,0,1.4136,"bandit50a","bandit50b",2,0.6203,1,15,0.5,0.97727,0.97727,0.5,0.47727,0,1,70
"voc060a",209,"bandits9010","bandit90","bandit10",1,2,1,2.5617,"bandit90","bandit10",1,0.60872,1,10,0.91071,0.59382,0.91071,0.59382,0.3169,1,1,70
"voc060a",210,"bandits7030","bandit70","bandit30",4,1,0,2.8181,"bandit30","bandit70",2,0.52999,0,4,0.69231,0.92262,0.92262,0.69231,0.23032,0,1,70
"voc060a",211,"bandits5050","bandit50a","bandit50b",6,1,0,2.0713,"bandit50b","bandit50a",2,0.78005,0,6,0.5,1.1,1.1,0.5,0.6,0,1,71
"voc060a",212,"bandits7030","bandit70","bandit30",6,1,0,1.4904,"bandit30","bandit70",2,0.8389,0,6,0.69231,1.1128,1.1128,0.69231,0.42051,0,1,71
"voc060a",213,"bandits9010","bandit90","bandit10",3,1,0,3.0988,"bandit10","bandit90",2,0.67772,0,3,0.91228,0.7946,0.7946,0.91228,-0.11768,1,-1,71
"voc060a",214,"bandits5050","bandit50a","bandit50b",3,2,1,1.6409,"bandit50b","bandit50a",2,0.31681,1,10,0.5,0.79576,0.5,0.79576,-0.29576,0,-1,72
"voc060a",215,"bandits9010","bandit10","bandit90",5,1,0,1.8488,"bandit90","bandit10",2,0.67832,1,15,0.91228,0.99185,0.99185,0.91228,0.079574,0,1,72
"voc060a",216,"bandits7030","bandit30","bandit70",1,2,1,0.93619,"bandit70","bandit30",2,0.354,1,10,0.69231,0.60405,0.69231,0.60405,0.088259,1,1,72
"voc060a",217,"bandits9010","bandit10","bandit90",6,1,0,1.5413,"bandit90","bandit10",2,0.49645,0,6,0.91379,1.0926,1.0926,0.91379,0.17882,0,1,73
"voc060a",218,"bandits5050","bandit50b","bandit50a",5,1,0,2.0411,"bandit50a","bandit50b",2,0.40005,1,15,0.5,1,1,0.5,0.5,0,1,73
"voc060a",219,"bandits7030","bandit30","bandit70",5,1,0,3.526,"bandit70","bandit30",2,0.2959,0,5,0.69811,1.007,1.007,0.69811,0.30884,0,1,73
"voc060a",220,"bandits7030","bandit70","bandit30",4,1,0,3.0903,"bandit30","bandit70",2,0.38963,0,4,0.68519,0.90049,0.90049,0.68519,0.2153,0,1,74
"voc060a",221,"bandits9010","bandit10","bandit90",2,2,1,1.0758,"bandit90","bandit10",2,0.25516,1,10,0.89831,0.68487,0.89831,0.68487,0.21344,1,1,74
"voc060a",222,"bandits5050","bandit50b","bandit50a",1,2,1,1.5663,"bandit50b","bandit50a",1,0.76474,0,0,0.53846,0.61923,0.53846,0.61923,-0.080769,0,-1,74
"voc060a",223,"bandits5050","bandit50a","bandit50b",4,1,0,2.6631,"bandit50b","bandit50a",2,0.38773,0,4,0.53846,0.91513,0.91513,0.53846,0.37667,0,1,75
"voc060a",224,"bandits7030","bandit70","bandit30",0,2,1,1.0585,"bandit70","bandit30",1,1.862,1,10,0.68519,0.49259,0.68519,0.49259,0.19259,1,1,75
"voc060a",225,"bandits9010","bandit90","bandit10",0,2,1,0.94789,"bandit90","bandit10",1,0.68526,1,10,0.9,0.48571,0.9,0.48571,0.41429,1,1,75
"voc060a",226,"bandits5050","bandit50b","bandit50a",2,2,1,2.1149,"bandit50b","bandit50a",1,0.18004,1,10,0.53846,0.71117,0.53846,0.71117,-0.1727,0,-1,76
"voc060a",227,"bandits7030","bandit70","bandit30",2,2,1,0.90061,"bandit70","bandit30",1,0.86414,1,10,0.69091,0.69545,0.69091,0.69545,-0.0045455,0,-1,76
"voc060a",228,"bandits9010","bandit90","bandit10",4,2,1,6.2702,"bandit90","bandit10",1,0.20556,1,10,0.90164,0.88653,0.90164,0.88653,0.015105,1,1,76
"voc060a",229,"bandits7030","bandit70","bandit30",3,1,0,1.7745,"bandit70","bandit30",1,0.50344,0,3,0.69643,0.79821,0.79821,0.69643,0.10179,0,1,77
"voc060a",230,"bandits5050","bandit50b","bandit50a",0,2,1,2.0911,"bandit50b","bandit50a",1,0.32444,1,10,0.53846,0.51526,0.53846,0.51526,0.023199,1,1,77
"voc060a",231,"bandits9010","bandit90","bandit10",1,2,1,0.88753,"bandit90","bandit10",1,0.32365,1,10,0.90323,0.58733,0.90323,0.58733,0.3159,1,1,77
"voc060a",232,"bandits5050","bandit50b","bandit50a",4,2,1,6.3925,"bandit50b","bandit50a",1,0.19473,1,10,0.53846,0.91923,0.53846,0.91923,-0.38077,0,-1,78
"voc060a",233,"bandits7030","bandit30","bandit70",6,1,0,1.141,"bandit70","bandit30",2,0.32707,1,16,0.68421,1.0921,1.0921,0.68421,0.40789,0,1,78
"voc060a",234,"bandits9010","bandit10","bandit90",5,1,0,1.6872,"bandit10","bandit90",1,0.51533,1,15,0.90476,0.9881,0.9881,0.90476,0.083333,0,1,78
"voc060a",235,"bandits9010","bandit90","bandit10",6,1,0,1.2769,"bandit90","bandit10",1,0.61893,1,16,0.90476,1.119,1.119,0.90476,0.21429,0,1,79
"voc060a",236,"bandits5050","bandit50b","bandit50a",5,1,0,2.2083,"bandit50a","bandit50b",2,0.6883,0,5,0.53846,1.0231,1.0231,0.53846,0.48462,0,1,79
"voc060a",237,"bandits7030","bandit70","bandit30",0,2,1,1.042,"bandit70","bandit30",1,0.35072,1,10,0.68966,0.49483,0.68966,0.49483,0.19483,1,1,79
"voc060a",238,"bandits9010","bandit10","bandit90",3,2,1,3.2579,"bandit90","bandit10",2,0.79668,1,10,0.90625,0.81979,0.90625,0.81979,0.086458,1,1,80
