"subID","trial","condition","leftBandit","rightBandit","tokenOffer","agencyResp","agency","agencyRT","selectedBandit","nonSelectedBandit","banditResp","banditRT","reward","tokensEarned","EV_choose","EV_comp","EV_selectedAction","EV_nonselectedAction","EV_selectedMinusNonselected","optimalToChoose","optimal","trialOfCond"
"voc091t",223,"bandits5050","bandit50b","bandit50a",2,1,0,0.98866,"bandit50a","bandit50b",2,1.5922,0,2,0.5,0.7,0.7,0.5,0.2,0,1,75
"voc091t",224,"bandits7030","bandit70","bandit30",5,1,0,3.7928,"bandit70","bandit30",1,1.0686,1,15,0.7,0.99706,0.99706,0.7,0.29706,0,1,75
"voc091t",225,"bandits9010","bandit90","bandit10",0,2,1,10.2184,"bandit10","bandit90",2,0.80379,0,0,0.90625,0.50074,0.90625,0.50074,0.40551,1,1,75
"voc091t",226,"bandits5050","bandit50b","bandit50a",5,1,0,0.38321,"bandit50a","bandit50b",2,0.47548,1,15,0.5,0.99324,0.99324,0.5,0.49324,0,1,76
"voc091t",227,"bandits7030","bandit70","bandit30",3,1,0,1.6243,"bandit30","bandit70",2,0.87315,0,3,0.70732,0.80072,0.80072,0.70732,0.0934,0,1,76
"voc091t",228,"bandits9010","bandit10","bandit90",1,2,1,0.4385,"bandit10","bandit90",1,0.75704,0,0,0.90625,0.59964,0.90625,0.59964,0.30661,1,1,76
"voc091t",229,"bandits9010","bandit10","bandit90",4,2,1,0.65799,"bandit90","bandit10",2,0.34461,1,10,0.90625,0.89858,0.90625,0.89858,0.0076705,1,1,77
"voc091t",230,"bandits7030","bandit70","bandit30",1,1,0,1.0548,"bandit70","bandit30",1,1.015,0,1,0.70732,0.59652,0.59652,0.70732,-0.1108,1,-1,77
"voc091t",231,"bandits5050","bandit50b","bandit50a",4,2,1,0.72758,"bandit50a","bandit50b",2,0.8975,0,0,0.5,0.9,0.5,0.9,-0.4,0,-1,77
"voc091t",232,"bandits5050","bandit50a","bandit50b",4,2,1,1.4652,"bandit50a","bandit50b",1,0.27038,1,10,0.5,0.89359,0.5,0.89359,-0.39359,0,-1,78
"voc091t",233,"bandits7030","bandit30","bandit70",0,2,1,11.9514,"bandit70","bandit30",2,0.00016898,1,10,0.69048,0.4881,0.69048,0.4881,0.20238,1,1,78
"voc091t",234,"bandits9010","bandit90","bandit10",6,1,0,1.2165,"bandit90","bandit10",1,1.6666,1,16,0.90909,1.1,1.1,0.90909,0.19091,0,1,78
"voc091t",235,"bandits5050","bandit50a","bandit50b",5,1,0,0.93577,"bandit50a","bandit50b",1,0.93372,0,5,0.5,1,1,0.5,0.5,0,1,79
"voc091t",236,"bandits9010","bandit90","bandit10",1,1,0,1.1043,"bandit90","bandit10",1,0.5511,0,1,0.91176,0.60134,0.60134,0.91176,-0.31043,1,-1,79
"voc091t",237,"bandits7030","bandit70","bandit30",1,2,1,0.40171,"bandit30","bandit70",2,1.4886,0,0,0.69767,0.59169,0.69767,0.59169,0.10598,1,1,79
"voc091t",238,"bandits9010","bandit90","bandit10",4,2,1,0.39279,"bandit90","bandit10",1,0.23325,1,10,0.88571,0.88831,0.88571,0.88831,-0.0025974,0,-1,80
"voc091t",239,"bandits7030","bandit30","bandit70",2,2,1,0.043268,"bandit30","bandit70",1,0.6259,0,0,0.69767,0.68773,0.69767,0.68773,0.0099483,1,1,80
"voc091t",240,"bandits5050","bandit50b","bandit50a",3,1,0,5.2607,"bandit50b","bandit50a",1,2.2867,0,3,0.5,0.7939,0.7939,0.5,0.2939,0,1,80
"voc091t",241,"bandits9010","bandit90","bandit10",3,1,0,2.2189,"bandit10","bandit90",2,2.4698,0,3,0.88889,0.7899,0.7899,0.88889,-0.09899,1,-1,81
"voc091t",242,"bandits7030","bandit30","bandit70",5,1,0,0.81221,"bandit70","bandit30",2,0.46996,1,15,0.69767,0.98397,0.98397,0.69767,0.2863,0,1,81
"voc091t",243,"bandits5050","bandit50b","bandit50a",0,2,1,2.283,"bandit50b","bandit50a",1,1.0641,1,10,0.4878,0.48749,0.4878,0.48749,0.0003127,1,1,81
"voc091t",244,"bandits9010","bandit90","bandit10",0,2,1,2.29,"bandit90","bandit10",1,0.98996,1,10,0.88889,0.48889,0.88889,0.48889,0.4,1,1,82
"voc091t",245,"bandits5050","bandit50b","bandit50a",2,1,0,6.2428,"bandit50b","bandit50a",1,1.0852,1,12,0.5,0.6939,0.6939,0.5,0.1939,0,1,82
"voc091t",246,"bandits7030","bandit30","bandit70",4,2,1,0.84298,"bandit70","bandit30",2,0.98518,1,10,0.70455,0.88741,0.70455,0.88741,-0.18286,0,-1,82
"voc091t",247,"bandits7030","bandit30","bandit70",3,1,0,1.3496,"bandit70","bandit30",2,11.5782,1,13,0.71111,0.79069,0.79069,0.71111,0.07958,0,1,83
"voc091t",248,"bandits9010","bandit90","bandit10",5,1,0,1.2068,"bandit90","bandit10",1,2.5515,1,15,0.89189,0.99039,0.99039,0.89189,0.098498,0,1,83
"voc091t",249,"bandits5050","bandit50a","bandit50b",1,2,1,0.5875,"bandit50b","bandit50a",2,1.5156,0,0,0.5122,0.6,0.5122,0.6,-0.087805,0,-1,83
"voc091t",250,"bandits9010","bandit90","bandit10",2,1,0,1.475,"bandit10","bandit90",2,1.8022,0,2,0.89474,0.69181,0.69181,0.89474,-0.20292,1,-1,84
"voc091t",251,"bandits7030","bandit70","bandit30",6,2,1,0.68331,"bandit70","bandit30",1,2.2704,1,10,0.71739,1.0938,0.71739,1.0938,-0.37644,0,-1,84
"voc091t",252,"bandits5050","bandit50a","bandit50b",6,2,1,1.616,"bandit50b","bandit50a",2,0.86397,0,0,0.5,1.0939,0.5,1.0939,-0.5939,0,-1,84
"voc091t",253,"bandits7030","bandit70","bandit30",3,1,0,0.43214,"bandit30","bandit70",2,1.3458,1,13,0.7234,0.79684,0.79684,0.7234,0.073433,0,1,85
"voc091t",254,"bandits5050","bandit50a","bandit50b",6,1,0,0.86041,"bandit50a","bandit50b",1,0.90795,1,16,0.48837,1.0881,1.0881,0.48837,0.59972,0,1,85
"voc091t",255,"bandits9010","bandit90","bandit10",2,1,0,0.67218,"bandit10","bandit90",2,0.57686,0,2,0.89474,0.69085,0.69085,0.89474,-0.20389,1,-1,85
"voc091t",256,"bandits7030","bandit30","bandit70",5,2,1,0.76219,"bandit30","bandit70",1,0.50725,0,0,0.7234,1.0064,0.7234,1.0064,-0.28303,0,-1,86
"voc091t",257,"bandits9010","bandit10","bandit90",6,2,1,0.60991,"bandit90","bandit10",2,0.24209,1,10,0.89474,1.0899,0.89474,1.0899,-0.19518,0,-1,86
"voc091t",258,"bandits5050","bandit50b","bandit50a",0,1,0,0.53949,"bandit50b","bandit50a",1,0.84875,1,10,0.5,0.49419,0.49419,0.5,-0.005814,1,-1,86
"voc091t",259,"bandits5050","bandit50b","bandit50a",2,2,1,0.2559,"bandit50a","bandit50b",2,0.28424,1,10,0.5,0.7,0.5,0.7,-0.2,0,-1,87
"voc091t",260,"bandits9010","bandit10","bandit90",5,1,0,0.34932,"bandit90","bandit10",2,1.37,1,15,0.89744,0.99127,0.99127,0.89744,0.093835,0,1,87
"voc091t",261,"bandits7030","bandit30","bandit70",2,2,1,0.41879,"bandit30","bandit70",1,0.28207,1,10,0.7234,0.70273,0.7234,0.70273,0.020676,1,1,87
"voc091t",262,"bandits5050","bandit50b","bandit50a",1,1,0,0.65111,"bandit50b","bandit50a",1,0.67446,1,11,0.51163,0.60581,0.60581,0.51163,0.094186,0,1,88
"voc091t",263,"bandits7030","bandit70","bandit30",1,2,1,0.25682,"bandit30","bandit70",2,0.23717,0,0,0.7234,0.6117,0.7234,0.6117,0.1117,1,1,88
"voc091t",264,"bandits9010","bandit10","bandit90",0,1,0,0.66476,"bandit10","bandit90",1,0.48079,0,0,0.9,0.49255,0.49255,0.9,-0.40745,1,-1,88
"voc091t",265,"bandits5050","bandit50a","bandit50b",3,2,1,0.30899,"bandit50b","bandit50a",2,0.20039,1,10,0.51163,0.81137,0.51163,0.81137,-0.29974,0,-1,89
"voc091t",266,"bandits9010","bandit10","bandit90",1,1,0,0.27528,"bandit90","bandit10",2,0.75472,1,11,0.9,0.59167,0.59167,0.9,-0.30833,1,-1,89
"voc091t",267,"bandits7030","bandit70","bandit30",0,2,1,0.86188,"bandit70","bandit30",1,0.30704,0,0,0.7234,0.50804,0.7234,0.50804,0.21536,1,1,89
"voc091t",268,"bandits7030","bandit30","bandit70",4,2,1,0.27409,"bandit70","bandit30",2,0.4788,1,10,0.70833,0.90051,0.70833,0.90051,-0.19217,0,-1,90
"voc091t",269,"bandits9010","bandit90","bandit10",4,1,0,0.31173,"bandit10","bandit90",2,0.51644,1,14,0.90244,0.89289,0.89289,0.90244,-0.0095528,1,-1,90
"voc091t",270,"bandits5050","bandit50b","bandit50a",5,2,1,0.30475,"bandit50b","bandit50a",1,0.64318,0,0,0.52174,1.0167,0.52174,1.0167,-0.49494,0,-1,90
"voc091t",271,"bandits9010","bandit10","bandit90",3,2,1,0.58285,"bandit90","bandit10",2,0.11796,0,0,0.90244,0.80224,0.90244,0.80224,0.1002,1,1,91
"voc091t",272,"bandits7030","bandit30","bandit70",6,1,0,0.22867,"bandit30","bandit70",1,1.1259,1,16,0.71429,1.1035,1.1035,0.71429,0.3892,0,1,91
"voc091t",273,"bandits5050","bandit50b","bandit50a",4,2,1,0.60897,"bandit50a","bandit50b",2,0.12901,0,0,0.51163,0.91113,0.51163,0.91113,-0.39951,0,-1,91
"voc091t",274,"bandits7030","bandit30","bandit70",1,1,0,0.26397,"bandit70","bandit30",2,0.50448,0,1,0.71429,0.6119,0.6119,0.71429,-0.10238,1,-1,92
"voc091t",275,"bandits9010","bandit10","bandit90",5,2,1,0.37898,"bandit90","bandit10",2,0.12443,1,10,0.88095,0.9915,0.88095,0.9915,-0.11054,0,-1,92
"voc091t",276,"bandits5050","bandit50b","bandit50a",1,1,0,0.45802,"bandit50a","bandit50b",2,0.75511,1,11,0.51064,0.60532,0.60532,0.51064,0.094681,0,1,92
"voc091t",277,"bandits9010","bandit10","bandit90",4,2,1,0.53352,"bandit10","bandit90",1,0.29456,0,0,0.88372,0.89288,0.88372,0.89288,-0.0091599,0,-1,93
