subID,trial,leftBandit,rightBandit,selectedBandit,banditKeyResp,RT,accuracy,diff,correct
voc020a,41,bandit50a,bandit90,bandit90,2,0.86945,1,0.4,1
voc020a,42,bandit50a,bandit50b,bandit50a,1,1.3945,0,0,0
voc020a,43,bandit70,bandit10,bandit70,1,3.1636,1,0.6,1
voc020a,44,bandit50a,bandit70,bandit70,2,4.7891,1,0.2,1
voc020a,45,bandit50b,bandit90,bandit90,2,1.3558,1,0.4,1
voc020a,46,bandit30,bandit50a,bandit50a,2,2.4545,1,0.2,1
voc020a,47,bandit10,bandit50b,bandit50b,2,1.5316,1,0.4,1
voc020a,48,bandit10,bandit70,bandit70,2,1.5512,1,0.6,1
voc020a,49,bandit70,bandit50b,bandit70,1,4.1454,1,0.2,1
voc020a,50,bandit30,bandit70,bandit70,2,0.87465,1,0.4,1
voc020a,51,bandit90,bandit30,bandit90,1,0.72875,1,0.6,1
voc020a,52,bandit30,bandit50b,bandit50b,2,1.4603,1,0.2,1
voc020a,53,bandit70,bandit50a,bandit70,1,2.8752,1,0.2,1
voc020a,54,bandit90,bandit50a,bandit90,1,0.86398,1,0.4,1
voc020a,55,bandit10,bandit50a,bandit50a,2,0.92572,1,0.4,1
voc020a,56,bandit50b,bandit50a,bandit50a,2,3.1224,0,0,0
voc020a,57,bandit10,bandit30,bandit30,2,2.5559,1,0.2,1
voc020a,58,bandit90,bandit50b,bandit90,1,0.85382,1,0.4,1
voc020a,59,bandit90,bandit70,bandit90,1,1.2609,1,0.2,1
voc020a,60,bandit10,bandit90,bandit90,2,0.50706,1,0.8,1
voc020a,61,bandit50a,bandit10,bandit50a,1,1.1051,1,0.4,1
voc020a,62,bandit70,bandit10,bandit70,1,0.90997,1,0.6,1
voc020a,63,bandit30,bandit10,bandit30,1,0.84977,1,0.2,1
voc020a,64,bandit50b,bandit30,bandit50b,1,1.5859,1,0.2,1
voc020a,65,bandit50a,bandit70,bandit70,2,1.6498,1,0.2,1
voc020a,66,bandit50a,bandit30,bandit50a,1,1.769,1,0.2,1
voc020a,67,bandit70,bandit30,bandit70,1,1.0497,1,0.4,1
voc020a,68,bandit90,bandit10,bandit90,1,0.64951,1,0.8,1
voc020a,69,bandit50b,bandit70,bandit70,2,2.6788,1,0.2,1
voc020a,70,bandit50b,bandit90,bandit90,2,0.95685,1,0.4,1
voc020a,71,bandit70,bandit90,bandit90,2,0.58383,1,0.2,1
voc020a,72,bandit50a,bandit90,bandit90,2,0.56938,1,0.4,1
voc020a,73,bandit50a,bandit50b,bandit50a,1,1.2189,0,0,0
voc020a,74,bandit50b,bandit10,bandit50b,1,1.0196,1,0.4,1
voc020a,75,bandit30,bandit90,bandit90,2,0.78746,1,0.6,1
voc020a,76,bandit10,bandit90,bandit90,2,0.70169,1,0.8,1
voc020a,77,bandit30,bandit70,bandit70,2,1.234,1,0.4,1
voc020a,78,bandit90,bandit50a,bandit90,1,0.76905,1,0.4,1
voc020a,79,bandit10,bandit30,bandit30,2,0.85952,1,0.2,1
voc020a,80,bandit50b,bandit50a,bandit50a,2,1.235,0,0,0
voc020a,81,bandit90,bandit50b,bandit90,1,0.56928,1,0.4,1
voc020a,82,bandit90,bandit70,bandit90,1,0.76444,1,0.2,1
voc020a,83,bandit70,bandit50b,bandit70,1,0.80609,1,0.2,1
voc020a,84,bandit30,bandit50b,bandit50b,2,0.86317,1,0.2,1
voc020a,85,bandit10,bandit50a,bandit50a,2,1.1814,1,0.4,1
voc020a,86,bandit30,bandit50a,bandit50a,2,0.99017,1,0.2,1
voc020a,87,bandit90,bandit30,bandit90,1,0.6163,1,0.6,1
voc020a,88,bandit10,bandit70,bandit70,2,0.7042,1,0.6,1
voc020a,89,bandit10,bandit50b,bandit50b,2,0.74097,1,0.4,1
voc020a,90,bandit70,bandit50a,bandit70,1,1.3693,1,0.2,1
voc021a,1,bandit90,bandit10,bandit90,1,0.95186,1,0.8,1
voc021a,2,bandit30,bandit90,bandit90,2,0.74109,1,0.6,1
voc021a,3,bandit50a,bandit90,bandit90,2,0.63417,1,0.4,1
voc021a,4,bandit70,bandit90,bandit90,2,0.55501,1,0.2,1
voc021a,5,bandit50a,bandit30,bandit50a,1,1.6468,1,0.2,1
voc021a,6,bandit50a,bandit70,bandit70,2,1.2877,1,0.2,1
