subID,trial,bandit,response,trueProb,RT,error
voc116t,5,bandit10,6,1,2.1519,5
voc116t,6,bandit50a,8,5,1.6019,3
voc117t,1,bandit30,3,3,12.0449,0
voc117t,2,bandit90,8,9,8.0744,1
voc117t,3,bandit70,7,7,6.308,0
voc117t,4,bandit10,2,1,6.8223,1
voc117t,5,bandit50b,2,5,0.0019989,3
voc117t,6,bandit50a,6,5,17.1927,1
voc118c,1,bandit50a,9,5,6.8638,4
voc118c,2,bandit90,5,9,2.033,4
voc118c,3,bandit30,5,3,1.2132,2
voc118c,4,bandit50b,3,5,2.1819,2
voc118c,5,bandit10,4,1,2.6202,3
voc118c,6,bandit70,7,7,2.4998,0
voc119t,1,bandit90,9,9,6.2918,0
voc119t,2,bandit50b,9,5,2.4227e-4,4
voc119t,3,bandit10,2,1,16.4853,1
voc119t,4,bandit30,4,3,8.5887,1
voc119t,5,bandit70,5,7,4.5815,2
voc119t,6,bandit50a,4,5,8.8133,1
voc120t,1,bandit50a,5,5,7.1371,0
voc120t,2,bandit50b,5,5,8.3154,0
voc120t,3,bandit30,1,3,2.8793,2
voc120t,4,bandit10,5,1,5.0458,4
voc120t,5,bandit90,5,9,4.0778,4
voc120t,6,bandit70,9,7,2.5929,2
